
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-08-10 16:28:30 / ........................................................................................ ~ 2s
  2026-08-10 16:28:32 /build/assets/app-M2WwAGdR.css ....................................................... ~ 4.55ms
  2026-08-10 16:28:32 /build/assets/app-C8d1wsiQ.js ....................................................... ~ 27.04ms
  2026-08-10 16:28:32 /build/assets/Welcome-BtPyaItV.js .................................................... ~ 2.99ms
  2026-08-10 16:28:32 /build/assets/AppLogoIcon.vue_vue_type_script_setup_true_lang-CUugQWWK.js ........... ~ 20.96ms
  2026-08-10 16:28:32 /build/assets/arrow-right-7l3zty7u.js ............................................... ~ 11.47ms
  2026-08-10 16:28:32 /build/assets/createLucideIcon-Cpxl1yMv.js .......................................... ~ 25.98ms
  2026-08-10 16:28:33 /build/assets/check-DYyBX4DW.js ..................................................... ~ 38.78ms
  2026-08-10 16:28:33 /build/assets/qr-code-BscIyiAs.js ................................................... ~ 56.34ms
  2026-08-10 16:28:33 /build/assets/clipboard-check-DjnWgpWt.js ........................................... ~ 63.75ms
  2026-08-10 16:28:33 /favicon.ico ........................................................................ ~ 49.70ms
  2026-08-10 16:28:33 /build/assets/newsreader-latin-700-normal-rIgV_oaK.woff2 ............................. ~ 2.15ms
  2026-08-10 16:29:03 /login ............................................................................... ~ 2.58ms
  2026-08-10 16:29:03 /build/assets/Login-g0tkYZ4T.js ...................................................... ~ 1.23ms
  2026-08-10 16:29:03 /build/assets/Label.vue_vue_type_script_setup_true_lang-CttW4EuH.js .................. ~ 8.66ms
  2026-08-10 16:29:03 /build/assets/Button.vue_vue_type_script_setup_true_lang-DC3C4Lkk.js ................. ~ 5.90ms
  2026-08-10 16:29:03 /build/assets/index-Ad_UtPjr.js ..................................................... ~ 10.79ms
  2026-08-10 16:29:03 /build/assets/TextLink.vue_vue_type_script_setup_true_lang-BZPauasa.js .............. ~ 17.59ms
  2026-08-10 16:29:03 /build/assets/AuthLayout.vue_vue_type_script_setup_true_lang-7mTu3zdG.js ............ ~ 21.75ms
  2026-08-10 16:29:03 /build/assets/loader-circle-B-eS4ta0.js ............................................. ~ 21.87ms
  2026-08-10 16:29:03 /build/assets/newsreader-latin-600-normal-30OJ_TG_.woff2 ............................. ~ 2.72ms
  2026-08-10 16:29:03 /favicon.ico ......................................................................... ~ 0.70ms
  2026-08-10 16:29:31 /login ................................................................................... ~ 1s
  2026-08-10 16:29:32 /dashboard ......................................................................... ~ 510.87ms
  2026-08-10 16:29:32 /build/assets/Dashboard-B2l1-2qY.js .................................................. ~ 0.95ms
  2026-08-10 16:29:32 /build/assets/AppLayout.vue_vue_type_script_setup_true_lang-ei8d2tNx.js .............. ~ 9.77ms
  2026-08-10 16:29:32 /build/assets/plus-DDc328DK.js ....................................................... ~ 4.70ms
  2026-08-10 16:29:32 /build/assets/users-DK6WXg3l.js ..................................................... ~ 13.75ms
  2026-08-10 16:29:32 /favicon.ico ......................................................................... ~ 0.79ms
  2026-08-10 16:29:53 /sections/1 ........................................................................ ~ 513.99ms
  2026-08-10 16:29:54 /build/assets/Show-DxXxLayW.js ....................................................... ~ 2.61ms
  2026-08-10 16:29:54 /build/assets/armchair-D27Cy3VT.js ................................................... ~ 2.16ms
  2026-08-10 16:29:54 /favicon.ico ......................................................................... ~ 3.23ms
  2026-08-10 16:30:11 /sections/1/attendance ............................................................... ~ 2.90ms
  2026-08-10 16:30:12 /build/assets/Index-CyZqQLtD.js ...................................................... ~ 2.71ms
  2026-08-10 16:30:12 /build/assets/calendar-days-DGY2WSHN.js ............................................. ~ 16.71ms
  2026-08-10 16:30:12 /build/assets/clock-3-BcIlrZPl.js ................................................... ~ 32.03ms
  2026-08-10 16:30:12 /build/assets/circle-check-Cvtw_f12.js .............................................. ~ 26.57ms
  2026-08-10 16:30:12 /favicon.ico ......................................................................... ~ 2.59ms
  2026-08-10 16:30:36 /sections/1/assessments ............................................................ ~ 510.49ms
  2026-08-10 16:30:36 /login ............................................................................... ~ 0.79ms
  2026-08-10 16:30:36 /build/assets/app-M2WwAGdR.css ....................................................... ~ 1.21ms
  2026-08-10 16:30:36 /build/assets/app-C8d1wsiQ.js ....................................................... ~ 10.15ms
  2026-08-10 16:30:37 /build/assets/Login-g0tkYZ4T.js ...................................................... ~ 3.38ms
  2026-08-10 16:30:37 /build/assets/Label.vue_vue_type_script_setup_true_lang-CttW4EuH.js ................. ~ 18.63ms
  2026-08-10 16:30:37 /build/assets/Button.vue_vue_type_script_setup_true_lang-DC3C4Lkk.js ................ ~ 14.30ms
  2026-08-10 16:30:37 /build/assets/index-Ad_UtPjr.js ..................................................... ~ 23.84ms
  2026-08-10 16:30:37 /build/assets/TextLink.vue_vue_type_script_setup_true_lang-BZPauasa.js .............. ~ 35.99ms
  2026-08-10 16:30:37 /build/assets/check-DYyBX4DW.js ..................................................... ~ 45.01ms
